	Ground Truth	Predicted
233	NA	NA
234	NA	NA
235	NA	NA
236	NA	NA
237	NA	NA
238	NA	NA
239	NA	NA
240	NA	NA
241	NA	NA
242	NA	NA
243	NA	NA
244	NA	NA
245	NA	NA
246	NA	NA
247	NA	NA
248	NA	NA
249	NA	NA
250	NA	NA
251	NA	NA
252	NA	NA
253	NA	NA
254	NA	NA
255	NA	NA
256	NA	NA
257	NA	NA
258	NA	NA
259	NA	NA
260	NA	NA
261	NA	NA
262	NA	NA
263	NA	NA
264	NA	NA
265	NA	NA
266	NA	NA
267	NA	NA
268	NA	NA
269	NA	NA
270	NA	NA
271	NA	NA
272	NA	NA
273	NA	NA
274	NA	NA
275	NA	NA
276	NA	NA
277	NA	NA
278	NA	NA
279	NA	NA
280	NA	NA
281	NA	NA
282	NA	NA
283	NA	NA
284	NA	NA
285	NA	NA
286	NA	NA
287	NA	NA
288	NA	NA
289	NA	NA
290	NA	NA
291	NA	NA
292	NA	NA
293	NA	NA
294	NA	NA
295	NA	NA
296	NA	NA
297	NA	NA
298	NA	NA
299	NA	NA
300	NA	NA
301	NA	NA
302	NA	NA
303	NA	NA
304	NA	NA
305	NA	NA
306	NA	NA
307	NA	NA
308	NA	NA
309	NA	NA
310	NA	NA
311	NA	NA
312	NA	NA
313	NA	NA
314	GO:0005623	GO:0005623
315	GO:0005783	NA
316	GO:0005783	NA
317	GO:0005783	NA
318	GO:0005783	NA
319	GO:0005783	NA
320	GO:0005783	NA
321	GO:0005783	NA
322	GO:0005783	NA
323	GO:0005783	NA
324	GO:0005783	NA
325	GO:0005783	NA
326	GO:0005783	NA
327	GO:0005783	NA
328	GO:0005783	NA
329	GO:0005783	NA
330	GO:0005783	NA
331	GO:0005783	NA
332	GO:0005783	NA
333	GO:0005783	NA
334	GO:0005783	NA
335	GO:0005783	NA
336	GO:0005783	NA
337	GO:0005783	NA
338	GO:0005783	NA
339	GO:0005783	NA
340	GO:0005783	NA
341	GO:0005783	NA
342	GO:0005783	NA
343	GO:0005783	NA
344	GO:0005783	NA
345	GO:0005783	NA
346	GO:0005783	NA
347	GO:0005783	NA
348	GO:0005783	NA
349	GO:0005783	NA
350	GO:0005783	NA
351	GO:0005783	NA
352	GO:0005783	NA
353	GO:0005783	NA
354	GO:0005783	NA
355	GO:0005783	NA
356	GO:0005783	NA
357	GO:0005783	NA
358	GO:0005783	NA
359	GO:0005783	NA
360	GO:0005783	NA
361	GO:0005783	NA
362	GO:0005783	NA
363	GO:0005783	NA
364	GO:0005783	NA
365	GO:0005783	NA
366	GO:0005783	NA
367	GO:0005783	NA
368	GO:0005783	NA
369	GO:0005783	NA
370	GO:0005783	NA
371	GO:0005783	NA
372	GO:0005783	NA
373	GO:0005783	NA
374	GO:0005783	NA
375	NA	NA
376	NA	NA
377	NA	NA
378	NA	NA
379	NA	NA
380	NA	NA
381	NA	NA
382	NA	NA
383	NA	NA
384	NA	NA
385	NA	NA
386	NA	NA
387	GO:0005737	NA
388	NA	NA
389	NA	NA
390	NA	NA
391	NA	NA
392	GO:0005739	GO:0005739
393	NA	NA
394	NA	NA
395	NA	NA
396	NA	NA
397	NA	NA
398	NA	NA
399	NA	GO:0005739
400	NA	NA
401	NA	NA
402	NA	NA
403	NA	NA
404	NA	NA
405	NA	NA
406	NA	NA
407	NA	NA
408	NA	NA
409	GO:0005783	NA
410	GO:0005783	NA
411	GO:0005783	NA
412	GO:0005783	NA
413	GO:0005783	NA
414	GO:0005783	NA
415	GO:0005783	NA
416	GO:0005783	NA
417	GO:0005783	NA
418	GO:0005783	NA
419	GO:0005783	NA
420	GO:0005783	NA
421	GO:0005783	NA
422	GO:0005783	NA
423	GO:0005783	NA
424	GO:0005783	NA
425	GO:0005783	NA
426	GO:0005783	NA
427	GO:0005783	NA
428	GO:0005783	NA
429	GO:0005783	NA
430	GO:0005783	NA
431	GO:0005783	NA
432	GO:0005783	NA
433	GO:0005783	NA
434	GO:0005783	NA
435	GO:0005783	NA
436	GO:0005783	NA
437	GO:0005783	NA
438	GO:0005783	NA
439	GO:0005783	NA
440	GO:0005783	NA
441	GO:0005783	NA
442	GO:0005783	NA
443	GO:0005783	NA
444	GO:0005783	NA
445	GO:0005783	NA
446	GO:0005783	NA
447	GO:0005783	NA
448	GO:0005783	NA
449	GO:0005783	NA
450	NA	NA
451	NA	NA
452	NA	NA
453	NA	NA
454	NA	NA
455	NA	NA
456	NA	NA
457	NA	NA
458	NA	NA
459	NA	NA
460	NA	NA
461	GO:0005783	NA
462	GO:0005783	NA
463	GO:0005783	NA
464	GO:0005783	NA
465	GO:0005783	NA
466	GO:0005783	NA
467	GO:0005783	NA
468	GO:0005783	NA
469	GO:0005783	NA
470	GO:0005783	NA
471	GO:0005783	NA
472	GO:0005783	NA
473	GO:0005783	NA
474	GO:0005783	NA
475	GO:0005783	NA
476	GO:0005783	NA
477	GO:0005783	NA
478	GO:0005783	NA
479	GO:0005783	NA
480	GO:0005783	NA
481	GO:0005783	NA
482	GO:0005783	NA
483	GO:0005783	NA
484	GO:0005783	NA
485	GO:0005783	NA
486	GO:0005783	NA
487	GO:0005783	NA
488	GO:0005783	NA
489	GO:0005783	NA
490	GO:0005783	NA
491	GO:0005783	NA
492	GO:0005783	NA
493	GO:0005783	NA
494	GO:0005783	NA
495	GO:0005783	NA
496	GO:0005783	NA
497	GO:0005783	NA
498	GO:0005783	NA
499	GO:0005783	NA
500	GO:0005783	NA
501	GO:0005783	NA
502	GO:0005783	NA
503	GO:0005783	NA
504	GO:0005783	NA
505	GO:0005783	NA
506	GO:0005783	NA
507	GO:0005783	NA
508	GO:0005783	NA
509	GO:0005783	NA
510	GO:0005783	NA
511	GO:0005783	NA
512	GO:0005783	NA
513	GO:0005783	NA
514	GO:0005783	NA
515	GO:0005783	NA
516	GO:0005783	NA
517	GO:0005783	NA
518	GO:0005783	NA
519	GO:0005783	NA
520	GO:0005783	NA
521	GO:0005783	NA
522	GO:0005783	NA
523	GO:0005783	NA
524	GO:0005783	NA
525	NA	NA
526	NA	NA
527	NA	NA
528	NA	NA
529	NA	NA
530	NA	NA
531	NA	NA
532	NA	NA
533	NA	NA
534	NA	NA
535	NA	NA
536	NA	NA
537	NA	NA
538	NA	NA
539	NA	NA
540	NA	NA
541	NA	NA
542	NA	NA
543	NA	NA
544	NA	NA
545	NA	NA
546	NA	NA
547	NA	NA
548	NA	NA
549	NA	NA
550	NA	NA
551	NA	NA
552	NA	NA
553	NA	NA
554	NA	NA
555	NA	NA
556	NA	NA
557	NA	NA
558	NA	NA
559	NA	NA
560	NA	NA
561	NA	NA
562	NA	NA
563	NA	NA
564	NA	NA
565	NA	NA
566	NA	NA
567	NA	NA
568	NA	NA
569	NA	NA
570	NA	NA
571	NA	NA
572	NA	NA
573	NA	NA
574	NA	NA
575	NA	NA
576	NA	NA
577	NA	NA
578	NA	NA
579	NA	NA
580	NA	NA
581	NA	NA
582	NA	NA
583	NA	NA
584	NA	NA
585	NA	NA
586	NA	NA
587	NA	NA
588	NA	NA
589	NA	NA
590	NA	NA
591	NA	NA
592	NA	NA
593	NA	NA
594	NA	NA
595	NA	NA
596	NA	NA
597	NA	NA
598	NA	NA
599	NA	NA
600	NA	NA
601	NA	NA
602	NA	NA
603	NA	NA
604	NA	NA
605	NA	NA
606	NA	NA
607	NA	NA
608	NA	NA
609	NA	NA
610	NA	NA
611	NA	NA
612	NA	NA
613	NA	NA
614	NA	NA
615	NA	NA
616	NA	NA
617	NA	NA
618	NA	NA
619	NA	NA
620	NA	NA
621	GO:0005623	GO:0005623
622	NA	NA
623	NA	NA
624	NA	NA
625	NA	NA
626	NA	NA
627	NA	NA
628	NA	NA
629	NA	NA
630	NA	NA
631	NA	NA
632	NA	NA
633	NA	NA
634	NA	NA
635	NA	NA
636	NA	NA
637	NA	NA
638	NA	NA
639	NA	NA
640	NA	NA
641	NA	NA
642	NA	NA
643	NA	NA
644	NA	NA
645	NA	NA
646	NA	NA
647	NA	NA
648	NA	NA
649	GO:0005623	GO:0005623
650	NA	NA
651	NA	NA
652	NA	NA
653	NA	NA
654	NA	NA
655	NA	NA
656	NA	NA
657	NA	NA
658	NA	NA
659	NA	NA
660	NA	NA
661	NA	NA
662	NA	NA
663	NA	NA
664	NA	NA
665	NA	NA
666	NA	NA
667	NA	NA
668	NA	NA
669	NA	NA
670	NA	NA
671	NA	NA
672	NA	NA
673	NA	NA
674	NA	NA
675	NA	NA
676	NA	NA
677	NA	NA
678	NA	NA
679	NA	NA
680	NA	NA
681	NA	NA
682	NA	NA
683	NA	NA
684	NA	NA
685	NA	NA
686	NA	NA
687	NA	NA
688	NA	NA
689	NA	NA
690	NA	NA
691	NA	NA
692	NA	NA
693	NA	NA
694	NA	NA
695	NA	NA
696	NA	NA
697	NA	NA
698	NA	NA
699	NA	NA
700	NA	NA
701	NA	NA
702	NA	NA
703	NA	NA
704	NA	NA
705	NA	NA
706	NA	NA
707	NA	NA
708	NA	NA
709	NA	NA
710	NA	NA
711	NA	NA
712	NA	NA
713	NA	NA
714	NA	NA
715	NA	NA
716	NA	NA
717	NA	NA
718	NA	NA
719	NA	NA
720	NA	NA
721	NA	NA
722	NA	NA
723	NA	NA
724	NA	NA
725	NA	NA
726	NA	NA
727	NA	NA
728	NA	NA
729	NA	NA
730	NA	NA
731	NA	NA
732	NA	NA
733	NA	NA
734	NA	NA
735	NA	NA
736	NA	NA
737	NA	NA
738	NA	NA
739	NA	NA
740	NA	NA
741	NA	NA
742	NA	NA
743	NA	NA
744	NA	NA
745	NA	NA
746	NA	NA
747	NA	NA
748	NA	NA
749	NA	NA
750	NA	NA
751	NA	NA
752	NA	NA
753	NA	NA
754	NA	NA
755	NA	NA
756	NA	NA
757	NA	NA
758	NA	NA
759	NA	NA
760	NA	NA
761	NA	NA
762	NA	NA
763	NA	NA
764	NA	NA
765	NA	NA
766	NA	NA
767	NA	NA
768	NA	NA
769	NA	NA
770	NA	NA
771	NA	NA
772	NA	NA
773	NA	NA
774	NA	NA
775	NA	NA
776	NA	NA
777	NA	NA
778	NA	NA
779	NA	NA
780	NA	NA
781	NA	NA
782	NA	NA
783	NA	NA
784	NA	NA
785	NA	NA
786	NA	NA
787	NA	NA
788	NA	NA
789	NA	NA
790	NA	NA
791	NA	NA
792	NA	NA
793	NA	NA
794	NA	NA
795	NA	NA
796	NA	NA
797	NA	NA
798	NA	NA
799	NA	NA
800	NA	NA
801	NA	NA
802	NA	NA
803	NA	NA
804	NA	NA
805	NA	NA
806	NA	NA
807	NA	NA
808	NA	NA
809	GO:0045202	NA
810	NA	NA
811	NA	NA
812	NA	NA
813	NA	NA
814	NA	NA
815	NA	NA
816	NA	NA
817	NA	NA
818	NA	NA
819	NA	NA
820	NA	NA
821	NA	NA
822	NA	NA
823	NA	NA
824	NA	NA
825	NA	NA
826	NA	NA
827	NA	NA
828	NA	NA
829	NA	NA
830	NA	NA
831	NA	NA
832	NA	NA
833	NA	NA
834	NA	NA
835	NA	NA
836	NA	NA
837	NA	NA
838	NA	NA
839	NA	NA
840	NA	NA
841	NA	NA
842	NA	NA
843	NA	NA
844	NA	NA
845	NA	NA
846	NA	NA
847	NA	NA
848	NA	NA
849	NA	NA
850	NA	NA
851	NA	NA
852	NA	NA
853	NA	NA
854	NA	NA
855	NA	NA
856	NA	NA
857	NA	NA
858	NA	NA
859	NA	NA
860	NA	NA
861	NA	NA
862	NA	NA
863	NA	NA
864	NA	NA
865	NA	NA
866	NA	NA
867	NA	NA
868	NA	NA
869	NA	NA
870	NA	NA
871	NA	NA
872	NA	NA
873	NA	NA
874	NA	NA
875	NA	NA
876	NA	NA
877	NA	NA
878	NA	NA
879	NA	NA
880	NA	NA
881	NA	NA
882	NA	NA
883	NA	NA
884	NA	NA
885	NA	NA
886	NA	NA
887	NA	NA
888	NA	NA
889	NA	NA
890	NA	NA
891	NA	NA
892	NA	NA
893	NA	NA
894	NA	NA
895	NA	NA
896	NA	NA
897	NA	NA
898	NA	NA
899	NA	NA
900	NA	NA
901	NA	NA
902	NA	NA
903	NA	NA
904	NA	NA
905	NA	NA
906	NA	NA
907	NA	NA
908	NA	NA
909	NA	NA
910	NA	NA
911	NA	NA
912	NA	NA
913	NA	NA
914	NA	NA
915	NA	NA
916	NA	NA
917	NA	NA
918	NA	NA
919	NA	NA
920	NA	NA
921	NA	NA
922	NA	NA
923	NA	NA
924	NA	NA
925	NA	NA
926	NA	NA
927	NA	NA
928	NA	NA
929	NA	NA
930	NA	NA
931	NA	NA
932	NA	NA
933	NA	NA
934	NA	NA
935	NA	NA
936	NA	NA
937	NA	NA
938	NA	NA
939	NA	NA
940	NA	NA
941	NA	NA
942	NA	NA
943	NA	NA
944	NA	NA
945	NA	NA
946	NA	NA
947	NA	NA
948	NA	NA
949	NA	NA
950	NA	NA
951	NA	NA
952	NA	NA
953	NA	NA
954	NA	NA
955	NA	NA
956	NA	NA
957	NA	NA
958	NA	NA
959	NA	NA
960	GO:0005623	GO:0005623
961	NA	NA
962	NA	NA
963	NA	NA
964	NA	NA
965	NA	NA
966	NA	NA
967	NA	NA
968	NA	NA
969	NA	NA
970	NA	NA
971	NA	NA
972	NA	NA
973	NA	NA
974	NA	NA
975	NA	NA
976	NA	NA
977	NA	NA
978	NA	NA
979	NA	NA
980	NA	NA
981	NA	NA
982	NA	NA
983	NA	NA
984	NA	NA
985	NA	NA
986	NA	NA
987	NA	NA
988	NA	NA
989	NA	NA
990	NA	NA
991	NA	NA
992	NA	NA
993	NA	NA
994	NA	NA
995	NA	NA
996	NA	NA
997	NA	NA
998	NA	NA
999	NA	NA
1000	NA	NA
1001	NA	NA
1002	NA	NA
1003	NA	NA
1004	NA	NA
1005	NA	NA
1006	NA	NA
1007	NA	NA
1008	NA	NA
1009	NA	NA
1010	NA	NA
1011	NA	NA
1012	NA	NA
1013	NA	NA
1014	NA	NA
1015	NA	NA
1016	NA	NA
1017	NA	NA
1018	NA	NA
1019	NA	NA
1020	NA	NA
1021	NA	NA
1022	NA	NA
1023	NA	NA
1024	NA	NA
1025	NA	NA
1026	NA	NA
1027	NA	NA
1028	NA	NA
1029	NA	NA
1030	NA	NA
1031	NA	NA
1032	NA	NA
1033	NA	NA
1034	NA	NA
1035	NA	NA
1036	NA	NA
1037	NA	NA
1038	NA	NA
1039	NA	NA
1040	NA	NA
1041	NA	NA
1042	NA	NA
1043	NA	NA
1044	NA	NA
1045	NA	NA
1046	NA	NA
1047	NA	NA
1048	NA	NA
1049	NA	NA
1050	NA	NA
1051	NA	NA
1052	NA	NA
1053	NA	NA
1054	NA	NA
1055	NA	NA
1056	NA	NA
1057	NA	NA
1058	NA	NA
1059	NA	NA
1060	NA	NA
1061	GO:0005783	NA
1062	GO:0005783	NA
1063	GO:0005783	NA
1064	GO:0005783	NA
1065	GO:0005783	NA
1066	GO:0005783	NA
1067	GO:0005783	NA
1068	GO:0005783	NA
1069	GO:0005783	NA
1070	GO:0005783	NA
1071	GO:0005783	NA
1072	GO:0005783	NA
1073	GO:0005783	NA
1074	GO:0005783	NA
1075	GO:0005783	NA
1076	GO:0005783	NA
1077	GO:0005783	NA
1078	GO:0005783	NA
1079	GO:0005783	NA
1080	GO:0005783	NA
1081	GO:0005783	NA
1082	GO:0005783	NA
1083	GO:0005783	NA
1084	GO:0005783	NA
1085	GO:0005783	NA
1086	GO:0005783	NA
1087	GO:0005783	NA
1088	GO:0005783	NA
1089	GO:0005783	NA
1090	GO:0005783	NA
1091	GO:0005783	NA
1092	GO:0005783	NA
1093	GO:0005783	NA
1094	GO:0005783	NA
1095	GO:0005783	NA
1096	GO:0005783	NA
1097	GO:0005783	NA
1098	GO:0005783	NA
1099	GO:0005783	NA
1100	GO:0005783	NA
1101	GO:0005783	NA
1102	GO:0005783	NA
1103	GO:0005783	NA
1104	GO:0005783	NA
1105	GO:0005783	NA
1106	GO:0005783	NA
1107	GO:0005783	NA
1108	GO:0005783	NA
1109	GO:0005783	NA
1110	GO:0005783	NA
1111	GO:0005783	NA
1112	GO:0005783	NA
1113	GO:0005783	NA
1114	GO:0005783	NA
1115	GO:0005783	NA
1116	GO:0005783	NA
1117	GO:0005783	NA
1118	GO:0005783	NA
1119	GO:0005783	NA
1120	GO:0005783	NA
1121	GO:0005783	NA
1122	GO:0005783	NA
1123	GO:0005783	NA
1124	GO:0005783	NA
1125	NA	NA
1126	NA	NA
1127	NA	NA
1128	NA	NA
1129	NA	NA
1130	GO:0005623	GO:0005623
1131	NA	NA
1132	NA	NA
1133	NA	NA
1134	NA	NA
1135	NA	NA
1136	NA	NA
1137	NA	NA
1138	NA	NA
1139	NA	NA
1140	NA	NA
1141	NA	NA
1142	NA	NA
1143	GO:0005783	NA
1144	GO:0005783	NA
1145	GO:0005783	NA
1146	GO:0005783	NA
1147	GO:0005783	NA
1148	GO:0005783	NA
1149	GO:0005783	NA
1150	GO:0005783	NA
1151	GO:0005783	NA
1152	GO:0005783	NA
1153	GO:0005783	NA
1154	GO:0005783	NA
1155	GO:0005783	NA
1156	GO:0005783	NA
1157	GO:0005783	NA
1158	GO:0005783	NA
1159	GO:0005783	NA
1160	GO:0005783	NA
1161	GO:0005783	NA
1162	GO:0005783	NA
1163	GO:0005783	NA
1164	GO:0005783	NA
1165	GO:0005783	NA
1166	GO:0005783	NA
1167	GO:0005783	NA
1168	GO:0005783	NA
1169	GO:0005783	NA
1170	GO:0005783	NA
1171	GO:0005783	NA
1172	GO:0005783	NA
1173	GO:0005783	NA
1174	GO:0005783	NA
1175	GO:0005783	NA
1176	GO:0005783	NA
1177	GO:0005783	NA
1178	GO:0005783	NA
1179	GO:0005783	NA
1180	GO:0005783	NA
1181	GO:0005783	NA
1182	GO:0005783	NA
1183	GO:0005783	NA
1184	GO:0005783	NA
1185	GO:0005783	NA
1186	GO:0005783	NA
1187	GO:0005783	NA
1188	GO:0005783	NA
1189	GO:0005783	NA
1190	GO:0005783	NA
1191	GO:0005783	NA
1192	GO:0005783	NA
1193	GO:0005783	NA
1194	GO:0005783	NA
1195	GO:0005783	NA
1196	GO:0005783	NA
1197	GO:0005783	NA
1198	GO:0005783	NA
1199	GO:0005783	NA
1200	NA	NA
1201	NA	NA
1202	NA	NA
1203	NA	NA
1204	NA	NA
1205	NA	NA
1206	NA	NA
1207	NA	NA
1208	NA	NA
1209	NA	NA
1210	NA	NA
1211	NA	NA
1212	NA	NA
1213	NA	NA
1214	NA	NA
1215	NA	NA
1216	NA	NA
1217	NA	NA
1218	NA	NA
1219	GO:0005634	GO:0005634
1220	NA	NA
1221	NA	NA
1222	NA	NA
1223	NA	NA
1224	NA	NA
1225	NA	NA
1226	NA	NA
1227	NA	NA
1228	NA	NA
1229	NA	NA
1230	NA	NA
1231	NA	NA
1232	NA	NA
1233	NA	NA
1234	NA	NA
1235	NA	NA
1236	NA	NA
1237	NA	NA
1238	NA	NA
1239	NA	NA
1240	NA	NA
1241	NA	NA
1242	NA	NA
1243	GO:0005783	NA
1244	GO:0005783	NA
1245	GO:0005783	NA
1246	GO:0005783	NA
1247	GO:0005783	NA
1248	GO:0005783	NA
1249	GO:0005783	NA
1250	GO:0005783	NA
1251	GO:0005783	NA
1252	GO:0005783	NA
1253	GO:0005783	NA
1254	GO:0005783	NA
1255	GO:0005783	NA
1256	GO:0005783	NA
1257	GO:0005783	NA
1258	GO:0005783	NA
1259	GO:0005783	NA
1260	GO:0005783	NA
1261	GO:0005783	NA
1262	GO:0005783	NA
1263	GO:0005783	NA
1264	GO:0005783	NA
1265	GO:0005783	NA
1266	GO:0005783	NA
1267	GO:0005783	NA
1268	GO:0005783	NA
1269	GO:0005783	NA
1270	GO:0005783	NA
1271	GO:0005783	NA
1272	GO:0005783	NA
1273	GO:0005783	NA
1274	GO:0005783	NA
1275	NA	NA
1276	NA	NA
1277	NA	NA
1278	NA	NA
1279	GO:0005783	NA
1280	GO:0005783	NA
1281	GO:0005783	NA
1282	GO:0005783	NA
1283	GO:0005783	NA
1284	GO:0005783	NA
1285	GO:0005783	NA
1286	GO:0005783	NA
1287	GO:0005783	NA
1288	GO:0005783	NA
1289	GO:0005783	NA
1290	GO:0005783	NA
1291	GO:0005783	NA
1292	GO:0005783	NA
1293	GO:0005783	NA
1294	GO:0005783	NA
1295	GO:0005783	NA
1296	GO:0005783	NA
1297	GO:0005783	NA
1298	GO:0005783	NA
1299	GO:0005783	NA
1300	GO:0005783	NA
1301	GO:0005783	NA
1302	GO:0005783	NA
1303	GO:0005783	NA
1304	GO:0005783	NA
1305	GO:0005783	NA
1306	GO:0005783	NA
1307	GO:0005783	NA
1308	GO:0005783	NA
1309	GO:0005783	NA
1310	GO:0005783	NA
1311	GO:0005783	NA
1312	GO:0005783	NA
1313	GO:0005783	NA
1314	GO:0005783	NA
1315	GO:0005783	NA
1316	GO:0005783	NA
1317	GO:0005783	NA
1318	GO:0005783	NA
1319	GO:0005783	NA
1320	GO:0005783	NA
1321	GO:0005783	NA
1322	GO:0005783	NA
1323	GO:0005783	NA
1324	GO:0005783	NA
1325	GO:0005783	NA
1326	GO:0005783	NA
1327	GO:0005783	NA
1328	GO:0005783	NA
1329	GO:0005783	NA
1330	GO:0005783	NA
1331	GO:0005783	NA
1332	GO:0005783	NA
1333	GO:0005783	NA
1334	GO:0005783	NA
1335	GO:0005783	NA
1336	GO:0005783	NA
1337	GO:0005783	NA
1338	GO:0005783	NA
1339	GO:0005783	NA
1340	GO:0005783	NA
1341	GO:0005783	NA
1342	GO:0005783	NA
1343	GO:0005783	NA
1344	GO:0005783	NA
1345	GO:0005783	NA
1346	GO:0005783	NA
1347	GO:0005783	NA
1348	GO:0005783	NA
1349	GO:0005783	NA
1350	NA	NA
1351	NA	NA
1352	NA	NA
1353	NA	NA
1354	NA	NA
1355	NA	NA
1356	NA	NA
1357	NA	NA
1358	NA	NA
1359	NA	NA
1360	NA	NA
1361	NA	NA
1362	NA	NA
1363	NA	GO:0031012
1364	NA	NA
1365	NA	NA
1366	NA	NA
1367	NA	NA
1368	NA	NA
1369	NA	NA
1370	NA	NA
1371	NA	NA
1372	NA	NA
1373	NA	NA
1374	NA	NA
1375	NA	NA
1376	NA	NA
1377	NA	NA
1378	NA	NA
1379	NA	NA
1380	NA	NA
1381	NA	NA
1382	NA	NA
1383	NA	NA
1384	NA	NA
1385	NA	NA
1386	NA	NA
1387	NA	NA
1388	NA	NA
1389	NA	NA
1390	NA	NA
1391	NA	NA
1392	NA	NA
1393	NA	NA
1394	NA	NA
1395	NA	NA
1396	NA	NA
1397	NA	NA
1398	NA	NA
1399	NA	NA
1400	NA	NA
1401	NA	NA
1402	NA	NA
1403	NA	NA
1404	NA	NA
1405	NA	NA
1406	NA	NA
1407	NA	NA
1408	NA	NA
1409	NA	NA
1410	NA	NA
1411	NA	NA
1412	NA	NA
1413	NA	NA
1414	NA	NA
1415	NA	NA
1416	NA	NA
1417	NA	NA
1418	NA	NA
1419	NA	NA
1420	NA	NA
1421	NA	NA
1422	NA	NA
1423	NA	NA
1424	NA	NA
1425	NA	NA
1426	NA	NA
1427	NA	NA
1428	NA	NA
1429	NA	NA
1430	NA	NA
1431	NA	NA
1432	NA	NA
1433	NA	NA
1434	NA	NA
1435	NA	NA
1436	NA	NA
1437	NA	NA
1438	NA	NA
1439	NA	NA
1440	NA	NA
1441	NA	NA
1442	NA	NA
1443	NA	NA
1444	NA	NA
1445	NA	NA
1446	NA	NA
1447	NA	NA
1448	NA	NA
1449	NA	NA
1450	NA	NA
1451	NA	NA
1452	NA	NA
1453	NA	NA
1454	NA	NA
1455	NA	NA
1456	GO:0005623	GO:0005623
1457	NA	NA
1458	NA	NA
1459	NA	NA
1460	NA	NA
1461	NA	NA
1462	NA	NA
1463	NA	NA
1464	NA	NA
1465	NA	NA
1466	NA	NA
1467	NA	NA
1468	NA	NA
1469	NA	NA
